Title,Date,Description,Image URL,Title Count,Description Count,Contains Money
Students demand more access to journalism at NYC public schools,No date available,Student journalism opportunities at New York City’s public schools tend to be limited to whiter and more affluent schools – and a group of kids wants to change that.,https://cms.prod.nypr.digital/images/344545/fill-1280x853|format-webp|webpquality-80/,1,0,False
MTA struggled to answer questions about congestion pricing tolls 5 years in the making,No date available,"The MTA had difficulty saying whether drivers on the Brooklyn Bridge would be tolled if they went to the FDR Drive going in either direction. At one point, different MTA officials gave different answers.",https://cms.prod.nypr.digital/images/344439/fill-1280x853|format-webp|webpquality-80/,0,0,False
Brooklyn’s SUNY Downstate hospital saved from closure until at least 2025,No date available,Lawmakers rejected Gov. Hochul's proposal to close the facility and replace it with an outpatient clinic.,https://cms.prod.nypr.digital/images/344546/fill-1280x853|format-webp|webpquality-80/,0,0,False
Families of NYC subway strike victims say bureaucracy is compounding their grief,No date available,"It can take weeks or months to get a hold of footage, answers around their loved ones' death.",https://cms.prod.nypr.digital/images/344490/fill-796x531|format-webp|webpquality-80/,1,0,False
NYC youth voter turnout is always low. Can this digital tool change that?,No date available,"A new website offers information about voting, community events and opportunities across the city.",https://cms.prod.nypr.digital/images/344530/fill-1280x853|format-webp|webpquality-80/,1,0,False
NYC asks researchers: What should we do with all this poop?,No date available,The department is seeking strategies to deal with the solid waste extracted from its wastewater system.,https://cms.prod.nypr.digital/images/344540/fill-1280x853|format-webp|webpquality-80/,1,0,False
Celebrate the drop of Taylor Swift's new album at these NYC events,No date available,“The Tortured Poets Department” drops Friday at midnight.,https://cms.prod.nypr.digital/images/344537/fill-1280x853|format-webp|webpquality-80/,1,0,False
"NYC street vendors protest City Hall crackdown, urge lifting caps on licenses",No date available,Vendors say the enforcement actions were unwarranted.,https://cms.prod.nypr.digital/images/344533/fill-1280x853|format-webp|webpquality-80/,1,0,False
Lawmakers to allow NYC to lower speed limit to 20 mph,No date available,Lawmakers say the change won't apply to some of the city's busiest streets.,https://cms.prod.nypr.digital/images/344539/fill-1280x853|format-webp|webpquality-80/,1,0,False
Extra Extra: A 65-foot hot dog sculpture is just what NYC needs,No date available,"Because we love hot dogs, here are your afternoon links: a new skyscraper is coming, a lawsuit against Dunkin', paying for kidney donors, and more from around the city and internet.",https://cms.prod.nypr.digital/images/344532/fill-1280x853|format-webp|webpquality-80/,1,0,False
